ID,time,gFx,gFy,gFz,TgF
377,3.8716,8.0077,6.7583,6.5269,12.34
378,3.88344,8.0077,7.005,7.9766,13.3
379,3.89549,8.0077,4.8247,7.9766,12.29
380,3.90518,8.0077,1.5027,7.9766,11.4
381,3.91674,8.0077,-3.3944,4.8119,9.94
382,3.92782,8.0077,-4.9459,4.7729,10.55
383,3.94096,7.1157,-5.9984,7.2354,11.79
384,3.94143,7.1157,-5.9984,7.2354,11.79
385,3.95671,8.0077,-7.0901,3.0843,11.13
386,3.96121,7.9532,-6.9592,0.9242,10.61
387,3.97134,5.6871,-6.4843,-2.5827,9.0
388,3.98217,4.0821,-6.5708,-3.7719,8.61
389,3.99374,2.8924,-6.3743,-2.8462,7.56
390,4.00562,2.0327,-5.3583,-2.7827,6.37
391,4.01762,1.4764,-3.5498,-2.87,4.8
392,4.02774,2.0368,-1.9328,-2.2353,3.59
393,4.03962,2.1145,-0.2367,-0.7885,2.27
394,4.04958,2.1661,1.5166,0.7845,2.76
395,4.06188,1.7713,3.5541,2.1215,4.5
396,4.07219,1.0501,3.9415,2.1916,4.63
397,4.08566,0.1274,2.774,1.1827,3.02
398,4.08618,0.1274,2.774,1.1827,3.02
399,4.10434,-1.0572,0.8121,-0.2897,1.36
400,4.11869,-0.767,-0.5906,-1.2432,1.58
401,4.11884,-0.767,-0.5906,-1.2432,1.58
402,4.12612,-0.4474,-0.6151,-1.5258,1.7
403,4.13697,-0.2237,-0.1473,-1.304,1.33
404,4.14864,0.1518,0.3768,-0.6972,0.81
405,4.1613,0.091,1.2755,0.2512,1.3
406,4.17199,0.4035,1.587,0.8497,1.84
407,4.18306,0.7213,1.963,1.4189,2.53
408,4.19686,0.3148,2.1323,1.1282,2.43
409,4.19768,0.1875,2.1174,0.9613,2.33
410,4.21407,-0.0375,2.1423,-0.2318,2.16
411,4.2178,0.0744,2.2048,-0.4131,2.24
412,4.22744,0.5749,2.5161,-1.0551,2.79
413,4.23921,0.7626,2.8068,-1.454,3.25
414,4.24947,0.3847,2.9937,-1.1904,3.24
415,4.26179,-0.3045,2.9465,-0.3131,2.98
416,4.27229,-0.5681,2.8854,0.2961,2.96
417,4.2837,-0.5708,2.5256,0.6496,2.67
418,4.29547,-0.7467,2.2214,0.5617,2.41
419,4.30685,-0.9511,2.0038,0.3636,2.25
420,4.31726,-0.9367,1.7109,0.1249,1.95
421,4.33099,-0.6815,1.1197,-0.1319,1.32
422,4.33142,-0.6815,1.1197,-0.1319,1.32
423,4.34591,-0.9287,0.7227,-0.4201,1.25
424,4.35092,-1.0374,0.6135,-0.4812,1.3
425,4.36114,-1.1109,0.3736,-0.5587,1.3
426,4.37246,-0.9514,0.1506,-0.5403,1.1
427,4.38311,-0.7215,0.0431,-0.4771,0.87
428,4.39485,-0.4325,0.0382,-0.5741,0.72
429,4.40718,-0.4748,0.1586,-0.694,0.86
430,4.41734,-0.5957,0.3091,-0.5802,0.89
431,4.42841,-0.6675,0.4405,-0.3437,0.87
432,4.4393,-0.5771,0.6079,-0.1172,0.85
433,4.45277,-0.4193,0.7176,-0.1314,0.84
434,4.46951,-0.4477,0.8761,-0.3642,1.05
435,4.47004,-0.4477,0.8761,-0.3642,1.05
436,4.47422,-0.4687,0.9196,-0.4065,1.11
437,4.49457,-0.5876,0.9978,-0.3928,1.22
438,4.49567,-0.604,0.9904,-0.3664,1.22
439,4.50627,-0.6844,0.943,-0.1609,1.18
440,4.5179,-0.7877,0.8844,0.0653,1.19
441,4.52897,-0.8806,0.7945,0.1161,1.19
442,4.54032,-0.9678,0.74,0.0843,1.22
443,4.55403,-0.9585,0.7337,0.0491,1.21
444,4.57005,-0.7711,0.753,-0.2179,1.1
445,4.57221,-0.7711,0.753,-0.2179,1.1
446,4.58263,-0.6556,0.7525,-0.4392,1.09
447,4.59451,-0.5693,0.7229,-0.5973,1.1
448,4.60593,-0.5229,0.6858,-0.6825,1.1
449,4.6177,-0.5178,0.6567,-0.7057,1.09
450,4.62958,-0.551,0.5869,-0.7341,1.09
451,4.64019,-0.6346,0.5746,-0.716,1.12
452,4.64105,-0.6473,0.5764,-0.7096,1.12
453,4.65092,-0.648,0.5705,-0.6759,1.1
454,4.66501,-0.6297,0.5421,-0.6185,1.04
455,4.67929,-0.7291,0.6062,-0.3354,1.01
456,4.68299,-0.7377,0.6118,-0.2697,1.0
457,4.6948,-0.7259,0.6042,0.0052,0.94
458,4.70639,-0.7088,0.6208,0.2062,0.96
459,4.7178,-0.6353,0.6694,0.3013,0.97
460,4.72815,-0.5095,0.6472,0.2724,0.87
461,4.73984,-0.3966,0.6308,0.0968,0.75
462,4.7511,-0.3604,0.6223,-0.203,0.75
463,4.76132,-0.401,0.6045,-0.4121,0.83
464,4.77343,-0.5105,0.6079,-0.5274,0.95
465,4.78491,-0.6082,0.6069,-0.4521,0.97
466,4.78582,-0.6272,0.6028,-0.4177,0.96
467,4.79485,-0.659,0.5859,-0.3053,0.93
468,4.80968,-0.6651,0.5717,-0.0129,0.88
469,4.82444,-0.6197,0.5866,0.1312,0.86
470,4.82962,-0.5977,0.5861,0.1293,0.85
471,4.84001,-0.6077,0.5944,0.0665,0.85
472,4.85018,-0.6538,0.6408,-0.0122,0.92
473,4.8621,-0.6558,0.6978,-0.1082,0.96
474,4.87348,-0.5608,0.7141,-0.2091,0.93
475,4.8846,-0.4609,0.7349,-0.3017,0.92
476,4.89478,-0.4088,0.7571,-0.3811,0.94
477,4.9067,-0.3468,0.8055,-0.4497,0.99
478,4.9181,-0.3111,0.8719,-0.5313,1.07
479,4.9186,-0.3111,0.8719,-0.5313,1.07
480,4.93155,-0.2901,0.933,-0.5694,1.13
481,4.94808,-0.2559,1.0151,-0.4966,1.16
482,4.95148,-0.249,1.0276,-0.4856,1.16
483,4.96124,-0.2048,1.0615,-0.4524,1.17
484,4.97323,-0.1633,1.1072,-0.4131,1.19
485,4.98457,-0.113,1.1949,-0.4131,1.27
486,4.99535,-0.0505,1.2347,-0.4732,1.32
487,5.00824,-0.0238,1.2968,-0.5399,1.4
488,5.01861,-0.0683,1.3429,-0.5296,1.45
489,5.02855,-0.1293,1.3654,-0.4883,1.46
490,5.03994,-0.1992,1.3542,-0.4426,1.44
491,5.0513,-0.241,1.3471,-0.3703,1.42
492,5.05178,-0.241,1.3471,-0.3703,1.42
493,5.06212,-0.2207,1.3439,-0.289,1.39
494,5.07664,-0.1101,1.3407,-0.2382,1.37
495,5.09653,0.0869,1.2904,-0.2299,1.31
496,5.09685,0.0869,1.2904,-0.2299,1.31
497,5.10645,0.121,1.268,-0.254,1.3
498,5.11755,0.1245,1.2215,-0.3122,1.27
499,5.12875,0.1193,1.1605,-0.3566,1.22
500,5.16184,0.0045,0.967,-0.4646,1.07
501,5.16228,-0.0011,0.9633,-0.4624,1.07
502,5.16247,-0.0011,0.9633,-0.4624,1.07
503,5.17194,0.0138,0.9543,-0.437,1.05
504,5.18299,0.0771,0.9316,-0.4162,1.02
505,5.1972,0.1223,0.8807,-0.3542,0.96
506,5.19772,0.1223,0.8807,-0.3542,0.96
507,5.2146,-0.0172,0.8541,-0.3058,0.91
508,5.21821,-0.0815,0.8558,-0.2965,0.91
509,5.22815,-0.1863,0.8583,-0.288,0.92
510,5.23981,-0.2334,0.8275,-0.3166,0.92
511,5.25113,-0.241,0.8238,-0.3356,0.92
512,5.26209,-0.2087,0.8343,-0.3447,0.93
513,5.27424,-0.1565,0.7979,-0.3925,0.9
514,5.28478,-0.2068,0.8033,-0.4062,0.92
