ID,time,gFx,gFy,gFz,TgF
163,1.66873,-0.37,0.8583,0.6115,1.12
164,1.67974,-0.3756,0.8409,0.5969,1.1
165,1.69185,-0.4032,0.8343,0.593,1.1
166,1.69306,-0.4125,0.837,0.59,1.1
167,1.71533,-0.4108,0.871,0.5597,1.11
168,1.71582,-0.4108,0.871,0.5597,1.11
169,1.72581,-0.3346,0.8868,0.516,1.08
170,1.73559,-0.3209,0.8893,0.4806,1.06
171,1.74677,-0.3392,0.8918,0.4185,1.04
172,1.75813,-0.3793,0.8783,0.3836,1.03
173,1.76943,-0.4044,0.8639,0.3926,1.03
174,1.78023,-0.3908,0.8583,0.3794,1.02
175,1.79109,-0.3859,0.8492,0.3313,0.99
176,1.80273,-0.4315,0.8497,0.3022,1.0
177,1.81374,-0.4978,0.8419,0.279,1.02
178,1.825,-0.5417,0.8414,0.2942,1.04
179,1.83724,-0.5412,0.8292,0.3482,1.05
180,1.84802,-0.5004,0.8055,0.4071,1.03
181,1.85785,-0.4711,0.7992,0.4173,1.02
182,1.86873,-0.4472,0.7938,0.3955,0.99
183,1.88033,-0.3978,0.8072,0.345,0.96
184,1.89086,-0.3763,0.8094,0.2734,0.93
185,1.90242,-0.393,0.8346,0.1913,0.94
186,1.91411,-0.3905,0.8407,0.1349,0.94
187,1.91456,-0.3905,0.8407,0.1349,0.94
188,1.92587,-0.3678,0.838,0.1251,0.92
189,1.93583,-0.3573,0.8346,0.1271,0.92
190,1.95077,-0.3543,0.8439,0.108,0.92
191,1.96315,-0.349,0.849,0.0403,0.92
192,1.97032,-0.3583,0.8453,-0.008,0.92
193,1.98085,-0.3583,0.8346,-0.0295,0.91
194,1.99147,-0.3187,0.8165,-0.0234,0.88
195,2.00336,-0.2896,0.8126,-0.0552,0.86
196,2.0147,-0.3047,0.8216,-0.075,0.88
197,2.02645,-0.3409,0.8184,-0.0881,0.89
198,2.03869,-0.3751,0.8028,-0.1143,0.89
199,2.03932,-0.3751,0.8028,-0.1143,0.89
200,2.07082,-0.5302,0.7982,-0.2618,0.99
201,2.07126,-0.5302,0.7982,-0.2618,0.99
202,2.07212,-0.5478,0.8055,-0.2736,1.01
203,2.07919,-0.5911,0.8346,-0.3044,1.07
204,2.09108,-0.5771,0.8571,-0.3229,1.08
205,2.10262,-0.5444,0.868,-0.3036,1.07
206,2.11423,-0.4946,0.8822,-0.277,1.05
207,2.12565,-0.4269,0.8957,-0.2506,1.02
208,2.1356,-0.3697,0.9005,-0.2296,1.0
209,2.14783,-0.3385,0.9128,-0.2042,0.99
210,2.15836,-0.3277,0.9198,-0.18,0.99
211,2.16991,-0.3104,0.9269,-0.1307,0.99
