time,gFx,gFy,gFz,TgF
2.435795,-0.8510,0.4310,1.0793,1.44
2.449383,0.2095,0.7703,0.2766,0.84
2.449791,0.2095,0.7703,0.2766,0.84
2.461066,0.5916,0.8915,-0.7788,1.32
2.469059,0.5114,0.9467,-1.3521,1.73
2.482013,0.0057,0.9091,-2.0203,2.22
2.492400,-0.3578,0.8546,-1.9436,2.15
2.502883,-0.5532,0.7437,-1.5046,1.77
2.515025,-0.5505,0.5688,-0.7583,1.10
2.526225,-0.6502,0.3748,-0.2247,0.78
2.537656,-0.8644,0.2253,0.0555,0.90
2.548851,-0.9409,0.1266,0.1833,0.97
2.560271,-0.9778,0.0057,0.2927,1.02
2.560808,-0.9778,0.0057,0.2927,1.02
2.573330,-1.0481,-0.0393,0.3159,1.10
2.587323,-0.8295,-0.0444,0.2106,0.86
2.592118,-0.6971,-0.0761,0.1459,0.72
2.603353,-0.4237,-0.1192,-0.0671,0.45
2.615344,-0.2808,-0.1079,-0.2308,0.38
2.626372,-0.0453,-0.1226,-0.4065,0.43
2.636710,0.1203,-0.1507,-0.5000,0.54
2.648374,0.2307,-0.1912,-0.5516,0.63
2.660032,0.2185,-0.2489,-0.4995,0.60
2.670445,0.1579,-0.3598,-0.3554,0.53
2.681049,0.2080,-0.4297,-0.2218,0.53
2.695289,0.3583,-0.4624,-0.0356,0.59
2.696195,0.3790,-0.4568,-0.0058,0.59
2.713563,0.6812,-0.2833,0.3743,0.83
2.725025,1.3010,-0.1438,0.6081,1.44
2.736090,1.9225,0.0062,0.6115,2.02
2.736880,2.0671,0.0550,0.5881,2.15
2.748791,2.6200,0.4579,0.2605,2.67
2.759527,2.9324,0.9653,-0.2543,3.10
2.770449,3.2278,1.4133,-0.8220,3.62
2.781219,3.5935,1.8293,-1.6450,4.35
2.792494,3.6799,1.9999,-2.5702,4.91
2.804040,3.2153,2.0773,-2.6428,4.65
2.818761,2.7519,2.0700,-2.2377,4.11
2.819309,2.7519,2.0700,-2.2377,4.11
2.835001,1.9765,2.6155,-1.5273,3.62
2.848118,1.5030,3.7344,-1.1792,4.19
2.858816,0.9612,5.1862,-1.5932,5.51
2.870370,0.8478,6.5970,-1.6204,6.85
2.872040,1.0846,7.3128,-1.5026,7.54
2.881666,1.5055,7.9966,-1.5893,8.29
2.892727,1.0824,7.9966,-2.4178,8.42
2.903730,1.3279,7.9966,-0.7993,8.15
2.914764,2.7951,7.9966,1.4165,8.59
2.926075,3.9548,7.9966,4.2918,9.90
2.937639,6.6821,7.9966,6.8213,12.45
2.948579,8.0077,7.9966,7.9766,13.85
2.962045,8.0079,6.9117,7.9766,13.25
2.974021,8.0079,4.5068,7.9766,12.17
2.975033,8.0079,4.1968,7.9766,12.06
2.992375,8.0077,2.7772,7.9766,11.64
3.003438,8.0077,2.3052,7.9766,11.54
3.003997,8.0077,2.3052,7.9766,11.54
3.015038,8.0077,2.5100,7.9766,11.58
3.026827,8.0077,1.7053,7.9766,11.43
