ID,time,gFx,gFy,gFz,TgF,TS
122,1.2388,-0.2652,0.8006,0.3611,0.92,2022-04-20 00:00:01.238800
123,1.25003,-0.2994,0.7769,0.3181,0.89,2022-04-20 00:00:01.250030
124,1.25644,-0.305,0.7742,0.3245,0.89,2022-04-20 00:00:01.256440
125,1.26819,-0.3287,0.7938,0.3745,0.94,2022-04-20 00:00:01.268190
126,1.27997,-0.3223,0.7911,0.4232,0.95,2022-04-20 00:00:01.279970
127,1.29023,-0.2764,0.7576,0.3938,0.9,2022-04-20 00:00:01.290230
128,1.30197,-0.2508,0.7036,0.3118,0.81,2022-04-20 00:00:01.301970
129,1.31367,-0.3079,0.679,0.2834,0.8,2022-04-20 00:00:01.313670
130,1.32595,-0.4176,0.6755,0.2979,0.85,2022-04-20 00:00:01.325950
131,1.3266,-0.433,0.6733,0.3054,0.86,2022-04-20 00:00:01.326600
132,1.34669,-0.5053,0.6438,0.4083,0.91,2022-04-20 00:00:01.346690
133,1.34767,-0.5031,0.6408,0.4251,0.92,2022-04-20 00:00:01.347670
134,1.35998,-0.4494,0.6333,0.5375,0.94,2022-04-20 00:00:01.359980
135,1.37201,-0.4225,0.6648,0.6509,1.02,2022-04-20 00:00:01.372010
136,1.38002,-0.4274,0.5803,0.6606,0.98,2022-04-20 00:00:01.380020
137,1.39008,-0.3243,0.6697,0.6157,0.97,2022-04-20 00:00:01.390080
138,1.40231,-0.3385,0.6426,0.6643,0.98,2022-04-20 00:00:01.402310
139,1.41467,-0.3057,0.6682,0.5873,0.94,2022-04-20 00:00:01.414670
140,1.42408,-0.3038,0.668,0.5697,0.93,2022-04-20 00:00:01.424080
141,1.43574,-0.3319,0.6926,0.5636,0.95,2022-04-20 00:00:01.435740
142,1.4469,-0.3888,0.7203,0.5734,1.0,2022-04-20 00:00:01.446900
143,1.45684,-0.3854,0.7159,0.5617,0.99,2022-04-20 00:00:01.456840
144,1.47277,-0.3575,0.7293,0.592,1.01,2022-04-20 00:00:01.472770
145,1.48219,-0.3434,0.7422,0.6343,1.03,2022-04-20 00:00:01.482190
146,1.49024,-0.3231,0.7505,0.699,1.08,2022-04-20 00:00:01.490240
147,1.50168,-0.3026,0.7403,0.7676,1.11,2022-04-20 00:00:01.501680
148,1.51442,-0.3302,0.7469,0.8458,1.18,2022-04-20 00:00:01.514420
149,1.51523,-0.3302,0.7469,0.8458,1.18,2022-04-20 00:00:01.515230
150,1.52458,-0.3646,0.7564,0.8072,1.16,2022-04-20 00:00:01.524580
151,1.53638,-0.3903,0.7627,0.7207,1.12,2022-04-20 00:00:01.536380
152,1.54721,-0.4081,0.795,0.6682,1.12,2022-04-20 00:00:01.547210
153,1.55863,-0.3551,0.8053,0.6626,1.1,2022-04-20 00:00:01.558630
154,1.56815,-0.2855,0.8155,0.6838,1.1,2022-04-20 00:00:01.568150
155,1.58053,-0.2241,0.8595,0.6956,1.13,2022-04-20 00:00:01.580530
156,1.58986,-0.2193,0.8683,0.6662,1.12,2022-04-20 00:00:01.589860
157,1.60234,-0.2681,0.8768,0.5939,1.09,2022-04-20 00:00:01.602340
158,1.61342,-0.3285,0.8817,0.5744,1.1,2022-04-20 00:00:01.613420
159,1.62503,-0.3666,0.8536,0.5851,1.1,2022-04-20 00:00:01.625030
160,1.6372,-0.378,0.8546,0.6147,1.12,2022-04-20 00:00:01.637200
161,1.64684,-0.3373,0.84,0.6183,1.1,2022-04-20 00:00:01.646840
162,1.65718,-0.3329,0.8378,0.6174,1.09,2022-04-20 00:00:01.657180
163,1.66873,-0.37,0.8583,0.6115,1.12,2022-04-20 00:00:01.668730
164,1.67974,-0.3756,0.8409,0.5969,1.1,2022-04-20 00:00:01.679740
165,1.69185,-0.4032,0.8343,0.593,1.1,2022-04-20 00:00:01.691850
166,1.69306,-0.4125,0.837,0.59,1.1,2022-04-20 00:00:01.693060
167,1.71533,-0.4108,0.871,0.5597,1.11,2022-04-20 00:00:01.715330
168,1.71582,-0.4108,0.871,0.5597,1.11,2022-04-20 00:00:01.715820
169,1.72581,-0.3346,0.8868,0.516,1.08,2022-04-20 00:00:01.725810
170,1.73559,-0.3209,0.8893,0.4806,1.06,2022-04-20 00:00:01.735590
171,1.74677,-0.3392,0.8918,0.4185,1.04,2022-04-20 00:00:01.746770
172,1.75813,-0.3793,0.8783,0.3836,1.03,2022-04-20 00:00:01.758130
173,1.76943,-0.4044,0.8639,0.3926,1.03,2022-04-20 00:00:01.769430
174,1.78023,-0.3908,0.8583,0.3794,1.02,2022-04-20 00:00:01.780230
175,1.79109,-0.3859,0.8492,0.3313,0.99,2022-04-20 00:00:01.791090
176,1.80273,-0.4315,0.8497,0.3022,1.0,2022-04-20 00:00:01.802730
177,1.81374,-0.4978,0.8419,0.279,1.02,2022-04-20 00:00:01.813740
178,1.825,-0.5417,0.8414,0.2942,1.04,2022-04-20 00:00:01.825000
179,1.83724,-0.5412,0.8292,0.3482,1.05,2022-04-20 00:00:01.837240
180,1.84802,-0.5004,0.8055,0.4071,1.03,2022-04-20 00:00:01.848020
181,1.85785,-0.4711,0.7992,0.4173,1.02,2022-04-20 00:00:01.857850
182,1.86873,-0.4472,0.7938,0.3955,0.99,2022-04-20 00:00:01.868730
183,1.88033,-0.3978,0.8072,0.345,0.96,2022-04-20 00:00:01.880330
184,1.89086,-0.3763,0.8094,0.2734,0.93,2022-04-20 00:00:01.890860
185,1.90242,-0.393,0.8346,0.1913,0.94,2022-04-20 00:00:01.902420
186,1.91411,-0.3905,0.8407,0.1349,0.94,2022-04-20 00:00:01.914110
187,1.91456,-0.3905,0.8407,0.1349,0.94,2022-04-20 00:00:01.914560
188,1.92587,-0.3678,0.838,0.1251,0.92,2022-04-20 00:00:01.925870
189,1.93583,-0.3573,0.8346,0.1271,0.92,2022-04-20 00:00:01.935830
190,1.95077,-0.3543,0.8439,0.108,0.92,2022-04-20 00:00:01.950770
191,1.96315,-0.349,0.849,0.0403,0.92,2022-04-20 00:00:01.963150
192,1.97032,-0.3583,0.8453,-0.008,0.92,2022-04-20 00:00:01.970320
193,1.98085,-0.3583,0.8346,-0.0295,0.91,2022-04-20 00:00:01.980850
194,1.99147,-0.3187,0.8165,-0.0234,0.88,2022-04-20 00:00:01.991470
195,2.00336,-0.2896,0.8126,-0.0552,0.86,2022-04-20 00:00:02.003360
196,2.0147,-0.3047,0.8216,-0.075,0.88,2022-04-20 00:00:02.014700
197,2.02645,-0.3409,0.8184,-0.0881,0.89,2022-04-20 00:00:02.026450
198,2.03869,-0.3751,0.8028,-0.1143,0.89,2022-04-20 00:00:02.038690
199,2.03932,-0.3751,0.8028,-0.1143,0.89,2022-04-20 00:00:02.039320
200,2.07082,-0.5302,0.7982,-0.2618,0.99,2022-04-20 00:00:02.070820
201,2.07126,-0.5302,0.7982,-0.2618,0.99,2022-04-20 00:00:02.071260
202,2.07212,-0.5478,0.8055,-0.2736,1.01,2022-04-20 00:00:02.072120
203,2.07919,-0.5911,0.8346,-0.3044,1.07,2022-04-20 00:00:02.079190
204,2.09108,-0.5771,0.8571,-0.3229,1.08,2022-04-20 00:00:02.091080
205,2.10262,-0.5444,0.868,-0.3036,1.07,2022-04-20 00:00:02.102620
206,2.11423,-0.4946,0.8822,-0.277,1.05,2022-04-20 00:00:02.114230
207,2.12565,-0.4269,0.8957,-0.2506,1.02,2022-04-20 00:00:02.125650
208,2.1356,-0.3697,0.9005,-0.2296,1.0,2022-04-20 00:00:02.135600
209,2.14783,-0.3385,0.9128,-0.2042,0.99,2022-04-20 00:00:02.147830
210,2.15836,-0.3277,0.9198,-0.18,0.99,2022-04-20 00:00:02.158360
211,2.16991,-0.3104,0.9269,-0.1307,0.99,2022-04-20 00:00:02.169910
212,2.17982,-0.2913,0.9364,-0.0796,0.98,2022-04-20 00:00:02.179820
213,2.19221,-0.2845,0.9445,-0.0085,0.99,2022-04-20 00:00:02.192210
214,2.20293,-0.294,0.9597,0.0648,1.01,2022-04-20 00:00:02.202930
215,2.20355,-0.294,0.9597,0.0648,1.01,2022-04-20 00:00:02.203550
216,2.21475,-0.3069,0.965,0.1017,1.02,2022-04-20 00:00:02.214750
217,2.22695,-0.3162,0.9658,0.0973,1.02,2022-04-20 00:00:02.226950
218,2.23715,-0.3194,0.9714,0.0601,1.02,2022-04-20 00:00:02.237150
219,2.24678,-0.3104,0.9804,0.0052,1.03,2022-04-20 00:00:02.246780
220,2.2582,-0.2791,0.9809,-0.0483,1.02,2022-04-20 00:00:02.258200
221,2.26895,-0.2703,0.967,-0.0811,1.01,2022-04-20 00:00:02.268950
222,2.28122,-0.3131,0.9475,-0.1192,1.0,2022-04-20 00:00:02.281220
223,2.2931,-0.35,0.922,-0.1341,1.0,2022-04-20 00:00:02.293100
224,2.30276,-0.4013,0.9013,-0.1394,1.0,2022-04-20 00:00:02.302760
225,2.31477,-0.4692,0.8805,-0.1468,1.01,2022-04-20 00:00:02.314770
226,2.32552,-0.4858,0.8827,-0.1355,1.02,2022-04-20 00:00:02.325520
227,2.33915,-0.4657,0.8927,-0.1079,1.01,2022-04-20 00:00:02.339150
228,2.33962,-0.4657,0.8927,-0.1079,1.01,2022-04-20 00:00:02.339620
229,2.35379,-0.4516,0.8834,-0.1324,1.0,2022-04-20 00:00:02.353790
230,2.36028,-0.4753,0.8751,-0.1595,1.01,2022-04-20 00:00:02.360280
231,2.3702,-0.5317,0.8795,-0.1878,1.04,2022-04-20 00:00:02.370200
232,2.38112,-0.5713,0.8702,-0.2076,1.06,2022-04-20 00:00:02.381120
233,2.39241,-0.5537,0.8578,-0.1803,1.04,2022-04-20 00:00:02.392410
234,2.40333,-0.499,0.8529,-0.1187,1.0,2022-04-20 00:00:02.403330
235,2.41569,-0.4208,0.8529,-0.0698,0.95,2022-04-20 00:00:02.415690
236,2.42599,-0.4218,0.8636,-0.063,0.96,2022-04-20 00:00:02.425990
237,2.43686,-0.4743,0.8827,-0.0681,1.0,2022-04-20 00:00:02.436860
238,2.44835,-0.4958,0.9108,-0.0456,1.04,2022-04-20 00:00:02.448350
239,2.46277,-0.4491,0.9274,0.0181,1.03,2022-04-20 00:00:02.462770
240,2.46321,-0.4491,0.9274,0.0181,1.03,2022-04-20 00:00:02.463210
241,2.47498,-0.4113,0.9384,0.0628,1.03,2022-04-20 00:00:02.474980
242,2.48177,-0.3866,0.9555,0.1007,1.04,2022-04-20 00:00:02.481770
243,2.49221,-0.3458,0.9677,0.1425,1.04,2022-04-20 00:00:02.492210
244,2.50361,-0.3094,0.9667,0.1647,1.03,2022-04-20 00:00:02.503610
245,2.51466,-0.325,0.9623,0.1508,1.03,2022-04-20 00:00:02.514660
246,2.52594,-0.3859,0.9494,0.1068,1.03,2022-04-20 00:00:02.525940
247,2.53659,-0.4589,0.9245,0.053,1.03,2022-04-20 00:00:02.536590
248,2.54758,-0.4973,0.9001,0.0045,1.03,2022-04-20 00:00:02.547580
249,2.55906,-0.518,0.8798,-0.0442,1.02,2022-04-20 00:00:02.559060
250,2.56991,-0.5461,0.89,-0.0796,1.05,2022-04-20 00:00:02.569910
251,2.58231,-0.5473,0.9047,-0.1158,1.06,2022-04-20 00:00:02.582310
252,2.59526,-0.497,0.9045,-0.1565,1.04,2022-04-20 00:00:02.595260
253,2.59604,-0.4841,0.9015,-0.1631,1.04,2022-04-20 00:00:02.596040
254,2.60831,-0.4426,0.8844,-0.1825,1.01,2022-04-20 00:00:02.608310
255,2.62584,-0.4438,0.8558,-0.2157,0.99,2022-04-20 00:00:02.625840
256,2.62634,-0.4438,0.8558,-0.2157,0.99,2022-04-20 00:00:02.626340
257,2.63699,-0.4794,0.8409,-0.2316,1.0,2022-04-20 00:00:02.636990
258,2.64858,-0.5319,0.8509,-0.2215,1.03,2022-04-20 00:00:02.648580
259,2.65972,-0.5559,0.8605,-0.1832,1.04,2022-04-20 00:00:02.659720
260,2.66972,-0.5232,0.8592,-0.1521,1.02,2022-04-20 00:00:02.669720
261,2.6824,-0.4679,0.8527,-0.1373,0.98,2022-04-20 00:00:02.682400
262,2.69574,-0.456,0.8549,-0.1453,0.98,2022-04-20 00:00:02.695740
263,2.70838,-0.4589,0.8524,-0.1595,0.98,2022-04-20 00:00:02.708380
264,2.70878,-0.4589,0.8524,-0.1595,0.98,2022-04-20 00:00:02.708780
265,2.72527,-0.4567,0.8697,-0.1023,0.99,2022-04-20 00:00:02.725270
266,2.73697,-0.424,0.8756,-0.0662,0.98,2022-04-20 00:00:02.736970
267,2.74847,-0.4003,0.891,-0.0669,0.98,2022-04-20 00:00:02.748470
268,2.75922,-0.4,0.9015,-0.0974,0.99,2022-04-20 00:00:02.759220
269,2.76021,-0.4042,0.9037,-0.1091,1.0,2022-04-20 00:00:02.760210
270,2.77222,-0.4171,0.9115,-0.1556,1.01,2022-04-20 00:00:02.772220
271,2.78127,-0.4264,0.9147,-0.1519,1.02,2022-04-20 00:00:02.781270
272,2.79395,-0.4237,0.9171,-0.1087,1.02,2022-04-20 00:00:02.793950
273,2.80419,-0.4115,0.9081,-0.0784,1.0,2022-04-20 00:00:02.804190
274,2.81824,-0.4188,0.9098,-0.0429,1.0,2022-04-20 00:00:02.818240
275,2.83284,-0.4047,0.8964,-0.0175,0.98,2022-04-20 00:00:02.832840
276,2.83312,-0.4047,0.8964,-0.0175,0.98,2022-04-20 00:00:02.833120
277,2.84734,-0.4032,0.8888,-0.0031,0.98,2022-04-20 00:00:02.847340
278,2.85962,-0.4215,0.8979,-0.0219,0.99,2022-04-20 00:00:02.859620
279,2.86996,-0.4369,0.9057,-0.0542,1.01,2022-04-20 00:00:02.869960
280,2.88138,-0.4347,0.912,-0.0862,1.01,2022-04-20 00:00:02.881380
281,2.89381,-0.4271,0.8974,-0.1128,1.0,2022-04-20 00:00:02.893810
282,2.89448,-0.4271,0.8974,-0.1128,1.0,2022-04-20 00:00:02.894480
283,2.90424,-0.4347,0.8998,-0.1358,1.01,2022-04-20 00:00:02.904240
284,2.91544,-0.4523,0.8908,-0.1783,1.01,2022-04-20 00:00:02.915440
285,2.9261,-0.467,0.882,-0.1959,1.02,2022-04-20 00:00:02.926100
286,2.94084,-0.4753,0.8918,-0.1732,1.03,2022-04-20 00:00:02.940840
287,2.95394,-0.4472,0.8854,-0.1624,1.01,2022-04-20 00:00:02.953940
288,2.96098,-0.4367,0.8812,-0.1673,1.0,2022-04-20 00:00:02.960980
289,2.97061,-0.4359,0.8918,-0.169,1.01,2022-04-20 00:00:02.970610
290,2.98245,-0.4484,0.9064,-0.1683,1.03,2022-04-20 00:00:02.982450
291,2.99368,-0.4499,0.9152,-0.1387,1.03,2022-04-20 00:00:02.993680
292,3.00593,-0.4249,0.9247,-0.0921,1.02,2022-04-20 00:00:03.005930
293,3.01547,-0.3878,0.9245,-0.0468,1.0,2022-04-20 00:00:03.015470
294,3.0258,-0.3663,0.904,-0.0163,0.98,2022-04-20 00:00:03.025800
295,3.03894,-0.4096,0.8617,-0.0862,0.96,2022-04-20 00:00:03.038940
296,3.05074,-0.4345,0.7992,-0.1673,0.92,2022-04-20 00:00:03.050740
297,3.0515,-0.4406,0.7811,-0.192,0.92,2022-04-20 00:00:03.051500
298,3.0614,-0.4931,0.7188,-0.2831,0.92,2022-04-20 00:00:03.061400
299,3.07102,-0.554,0.646,-0.3163,0.91,2022-04-20 00:00:03.071020
300,3.0851,-0.554,0.429,-0.2626,0.75,2022-04-20 00:00:03.085100
301,3.09149,-0.6267,0.2903,-0.2257,0.73,2022-04-20 00:00:03.091490
302,3.10317,-1.0086,0.1234,-0.0298,1.02,2022-04-20 00:00:03.103170
303,3.11407,-1.4678,-0.1248,0.2297,1.49,2022-04-20 00:00:03.114070
304,3.12622,-1.9105,-0.7949,0.3745,2.1,2022-04-20 00:00:03.126220
305,3.13757,-2.3307,-2.0916,-0.9578,3.27,2022-04-20 00:00:03.137570
306,3.1477,-3.5624,-3.0461,-3.3661,5.77,2022-04-20 00:00:03.147700
307,3.16119,-6.2006,-3.0634,-6.3941,9.42,2022-04-20 00:00:03.161190
308,3.17065,-5.9834,-2.7402,-6.0895,8.97,2022-04-20 00:00:03.170650
309,3.18258,-3.5512,-2.6584,-4.4527,6.29,2022-04-20 00:00:03.182580
310,3.19302,-2.6028,-2.4028,-3.9099,5.28,2022-04-20 00:00:03.193020
311,3.20437,-3.4623,-2.1979,-4.0922,5.79,2022-04-20 00:00:03.204370
312,3.21671,-3.894,-2.524,-4.2485,6.29,2022-04-20 00:00:03.216710
313,3.21739,-3.7151,-2.7001,-4.1767,6.21,2022-04-20 00:00:03.217390
314,3.22773,-1.6743,-3.2908,-3.7961,5.3,2022-04-20 00:00:03.227730
315,3.23781,0.359,-3.6165,-3.3702,4.96,2022-04-20 00:00:03.237810
316,3.24802,2.0525,-4.1417,-2.1585,5.1,2022-04-20 00:00:03.248020
