time,gFx,gFy,gFz,TgF
3.051497,-0.4406,0.7811,-0.192,0.92
3.061405,-0.4931,0.7188,-0.2831,0.92
3.071025,-0.554,0.646,-0.3163,0.91
3.085101,-0.554,0.429,-0.2626,0.75
3.091494,-0.6267,0.2903,-0.2257,0.73
3.10317,-1.0086,0.1234,-0.0298,1.02
3.114069,-1.4678,-0.1248,0.2297,1.49
3.126225,-1.9105,-0.7949,0.3745,2.1
3.137566,-2.3307,-2.0916,-0.9578,3.27
3.147698,-3.5624,-3.0461,-3.3661,5.77
3.161188,-6.2006,-3.0634,-6.3941,9.42
3.170653,-5.9834,-2.7402,-6.0895,8.97
3.182582,-3.5512,-2.6584,-4.4527,6.29
3.193018,-2.6028,-2.4028,-3.9099,5.28
3.204369,-3.4623,-2.1979,-4.0922,5.79
3.216708,-3.894,-2.524,-4.2485,6.29
3.217386,-3.7151,-2.7001,-4.1767,6.21
3.227732,-1.6743,-3.2908,-3.7961,5.3
3.237806,0.359,-3.6165,-3.3702,4.96
3.248016,2.0525,-4.1417,-2.1585,5.1
3.259673,4.6413,-5.2433,0.7244,7.04
3.271033,8.0079,-4.7833,6.07,11.13
3.282646,8.0079,-1.8771,7.9766,11.46
3.295776,8.0079,2.8798,2.6077,8.9
3.310268,8.0079,4.1787,-7.5084,11.75
3.310741,8.0079,4.1787,-7.5084,11.75
3.32686,4.5611,-3.9285,1.4641,6.2
3.337996,-1.3286,-2.4292,7.1225,7.64
3.348227,0.3365,-1.698,5.5844,5.85
3.360807,2.4116,-0.8657,-0.7196,2.66
3.361531,2.4116,-0.8657,-0.7196,2.66
3.371483,2.2345,-0.556,-4.5756,5.12
3.382064,1.6012,-0.5357,-4.9689,5.25
3.394485,0.6834,-1.1559,-3.1926,3.46
3.405079,-0.3548,-0.9363,-2.2494,2.46
3.415453,-0.9221,-0.4521,-1.4782,1.8
3.429234,-1.0523,0.2426,-0.7211,1.3
3.442723,-0.6771,0.4293,-1.2498,1.48
3.443192,-0.6771,0.4293,-1.2498,1.48
3.461172,-0.7391,0.411,-2.6132,2.75
3.471891,-0.7555,0.2649,-2.8841,2.99
3.482628,-0.7801,0.1088,-3.0629,3.16
3.495826,-0.8869,-0.0295,-3.1391,3.26
3.497573,-0.9265,-0.0669,-3.093,3.23
3.505531,-1.0855,-0.1888,-2.7969,3.01
3.516648,-1.3152,-0.3254,-1.9968,2.41
3.528274,-1.3066,-0.4507,-1.4943,2.04
3.539195,-1.2873,-0.3967,-1.2495,1.84
3.551139,-1.182,-0.2064,-1.0775,1.61
3.561626,-0.9954,0.0611,-1.0419,1.44
3.57439,-0.6683,0.3252,-0.9161,1.18
3.587768,-0.1965,0.5048,-0.7016,0.89
3.588203,-0.1965,0.5048,-0.7016,0.89
3.605762,-0.0011,0.7215,-0.4653,0.86
3.616191,0.0199,0.8053,-0.3004,0.86
3.628253,-0.0395,0.8331,-0.1431,0.85
3.639244,-0.1584,0.8267,-0.0967,0.85
